code,iso,country,region,include,SEA,sids,ldc,lldc,arableague,asean,comwealth,eu27,g20,franco,oecd,oei,oic,opec,emmrkt
178,COG,Republic of Congo,Sub-Saharan Africa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
642,ROU,Romania,Eastern Europe,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
643,RUS,Russia,Former Soviet States,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
646,RWA,Rwanda,Sub-Saharan Africa,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
652,BLM,Saint Barthelemy,Latin America & Caribbean,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
659,KNA,Saint Kitts and Nevis,Latin America & Caribbean,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
662,LCA,Saint Lucia,Latin America & Caribbean,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
670,VCT,Saint Vincent and the Grenadines,Latin America & Caribbean,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
882,WSM,Samoa,Asia-Pacific,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
674,SMR,San Marino,Global West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,STP,Sao Tome and Principe,Sub-Saharan Africa,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
682,SAU,Saudi Arabia,Greater Middle East,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
686,SEN,Senegal,Sub-Saharan Africa,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
688,SRB,Serbia,Eastern Europe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,SYC,Seychelles,Sub-Saharan Africa,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
694,SLE,Sierra Leone,Sub-Saharan Africa,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
702,SGP,Singapore,Asia-Pacific,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
534,SXM,Sint Maarten,Latin America & Caribbean,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
703,SVK,Slovakia,Eastern Europe,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
705,SVN,Slovenia,Eastern Europe,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
90,SLB,Solomon Islands,Asia-Pacific,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
706,SOM,Somalia,Sub-Saharan Africa,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
710,ZAF,South Africa,Sub-Saharan Africa,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
410,KOR,South Korea,Asia-Pacific,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
